ID,Clee,NUE,RS,NCA,NPO,E,EP,TAH,NAH,L,TE,LAT,LON,FiDENUE
3054091,19046812110001301000000000U8,ESTETICA,0,15,1,0,0,COLONIA,NUEVO MUNDO SECT 2,San Nicolás de los Garza,Fijo,25.70952131,-100.2465164,2010-07
2978361,19046812110012491000000000U4,ESTETICA,0,15,1,0,0,COLONIA,LOS ANGELES 3ER SECTOR,San Nicolás de los Garza,Fijo,25.73152614,-100.2201924,2014-12
2977888,19046812110012111000000000U8,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO 4 SECTOR,San Nicolás de los Garza,Fijo,25.71270337,-100.2625028,2014-12
2977897,19046812110013291000000000U7,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 4,San Nicolás de los Garza,Fijo,25.71200375,-100.2622577,2014-12
2977967,19046812110010981000000000U6,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 2,San Nicolás de los Garza,Fijo,25.71292957,-100.2601609,2014-12
2978218,19046812110012291000000000U8,ESTETICA,0,15,1,0,0,COLONIA,LOS ANGELES SECT 1,San Nicolás de los Garza,Fijo,25.72970131,-100.2352101,2014-12
3003491,19046812110011911000000000U2,ESTETICA,0,15,1,0,0,COLONIA,AZTECA,San Nicolás de los Garza,Fijo,25.71909714,-100.2670919,2010-07
3026386,19046812110002331000000000U4,ESTETICA,0,15,1,0,0,COLONIA,CARMEN ROMANO DE LOPEZ PORTILLO (FOMERREY 27),San Nicolás de los Garza,Fijo,25.72691553,-100.2752394,2010-07
3026478,19046812110002351000000000U2,ESTETICA,0,15,1,0,0,COLONIA,PASEO DEL NOGALAR,San Nicolás de los Garza,Fijo,25.72329271,-100.2731559,2010-07
2977753,19046812110010661000000000U4,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 6,San Nicolás de los Garza,Fijo,25.70914523,-100.2702155,2014-12
2977755,19046812110012241000000000U3,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 6,San Nicolás de los Garza,Fijo,25.70924896,-100.2686548,2014-12
2977760,19046812110013271000000000U9,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 5,San Nicolás de los Garza,Fijo,25.71264848,-100.266952,2014-12
2977761,19046812110011851000000000U0,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 5,San Nicolás de los Garza,Fijo,25.71232577,-100.2667537,2014-12
3029334,19046812110008511000000000U5,ESTETICA,0,15,1,0,0,COLONIA,LOS ANGELES,San Nicolás de los Garza,Fijo,25.7287993,-100.231205,2010-07
3035674,19046812110003061000000000U6,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 2,San Nicolás de los Garza,Fijo,25.71455732,-100.2590081,2010-07
3035698,19046812110000721000000000U8,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 1,San Nicolás de los Garza,Fijo,25.71566399,-100.2529239,2010-07
3035824,19046812110000351000000000U4,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO 4 SECTOR,San Nicolás de los Garza,Fijo,25.71246462,-100.2655697,2010-07
